,Region,Consommee_locale,Pompage,importee
2,Corse,1607755.0,0,713641.0
3,Ile-de-France,3285171.0,0,66371232.0
10,Bourgogne-Franche-Comté,4041101.0,0,17198095.0
0,Bretagne,4117455.0,0,18528323.0
7,Pays de la Loire,6450695.0,0,20699288.0
4,Centre-Val de Loire,18978428.0,56677157.0,0
12,Provence-Alpes-Côte d'Azur,19351843.0,0,21631004.0
5,Normandie,27765868.0,27181632.0,0
9,Occitanie,34290755.0,0,3836216.0
8,Nouvelle-Aquitaine,43591194.0,14931041.0,0
11,Grand-Est,45484585.0,58622411.0,0
6,Hauts-de-France,50091468.0,2388676.0,0
1,Auvergne-Rhône-Alpes,65717385.0,53225091.0,0